"","school_id","grade","pupil_id","Fluency","Kiswahili","Math","attendance_records","present_records","teacher_id","lesson_completion_rate","region","province","tutoring_program"
"1",416,"Grade 1",23222,43,0.657142877578735,0.966666638851166,85,76,505,0.568400770712909,"Kirinyaga","Central","No"
"2",416,"Grade 1",8377,11,0.142857149243355,0.866666674613953,85,69,505,0.568400770712909,"Kirinyaga","Central","No"
"3",416,"Grade 1",11313,26,0.142857149243355,0.766666650772095,85,64,505,0.568400770712909,"Kirinyaga","Central","No"
"4",416,"Grade 1",5052,38,0.54285717010498,1,85,77,505,0.568400770712909,"Kirinyaga","Central","No"
"5",416,"Grade 1",6151,21,0.142857149243355,0.766666650772095,85,59,505,0.568400770712909,"Kirinyaga","Central","No"
"6",416,"Grade 1",2097,10,0.200000002980232,0.666666686534882,85,62,505,0.568400770712909,"Kirinyaga","Central","No"
"7",416,"Grade 1",14284,2,0.0285714287310839,0.0333333350718021,66,41,505,0.568400770712909,"Kirinyaga","Central","No"
"8",416,"Grade 1",22914,20,0.142857149243355,0.933333337306976,85,59,505,0.568400770712909,"Kirinyaga","Central","No"
"9",416,"Grade 1",1430,20,0.171428576111794,0.400000005960464,85,65,505,0.568400770712909,"Kirinyaga","Central","No"
"10",416,"Grade 1",14979,40,0.77142858505249,0.966666638851166,85,52,505,0.568400770712909,"Kirinyaga","Central","No"
"11",416,"Grade 1",24966,26,0.114285714924335,0.800000011920929,85,62,505,0.568400770712909,"Kirinyaga","Central","No"
"12",416,"Grade 1",8622,26,0.371428579092026,1,85,65,505,0.568400770712909,"Kirinyaga","Central","No"
"13",416,"Grade 1",14895,35,0.657142877578735,0.933333337306976,85,56,505,0.568400770712909,"Kirinyaga","Central","No"
"14",416,"Grade 1",4088,48,0.885714292526245,0.966666638851166,85,67,505,0.568400770712909,"Kirinyaga","Central","No"
"15",416,"Grade 1",1980,40,0.457142859697342,1,85,74,505,0.568400770712909,"Kirinyaga","Central","No"
"16",416,"Grade 1",3083,43,0.514285743236542,0.899999976158142,85,55,505,0.568400770712909,"Kirinyaga","Central","No"
"17",416,"Grade 1",2468,37,0.428571432828903,0.766666650772095,85,73,505,0.568400770712909,"Kirinyaga","Central","No"
"18",416,"Grade 1",19156,2,0.114285714924335,0.866666674613953,38,31,505,0.568400770712909,"Kirinyaga","Central","No"
"19",416,"Grade 1",6768,17,0.0857142880558968,0.699999988079071,85,69,505,0.568400770712909,"Kirinyaga","Central","No"
"20",416,"Grade 1",10616,39,0.857142865657806,1,85,68,505,0.568400770712909,"Kirinyaga","Central","No"
"21",416,"Grade 2",23757,41,0.657142877578735,0.800000011920929,102,92,202,0.680608365019011,"Kirinyaga","Central","No"
"22",416,"Grade 2",25523,29,0.657142877578735,0.699999988079071,102,53,202,0.680608365019011,"Kirinyaga","Central","No"
"23",416,"Grade 2",21655,21,0.685714304447174,0.333333343267441,102,75,202,0.680608365019011,"Kirinyaga","Central","No"
"24",416,"Grade 2",5692,40,0.742857158184052,0.633333325386047,102,82,202,0.680608365019011,"Kirinyaga","Central","No"
"25",416,"Grade 2",3333,41,0.514285743236542,0.466666668653488,102,76,202,0.680608365019011,"Kirinyaga","Central","No"
"26",416,"Grade 2",22755,43,0.657142877578735,0.633333325386047,102,73,202,0.680608365019011,"Kirinyaga","Central","No"
"27",416,"Grade 2",8025,27,0.571428596973419,0.766666650772095,102,88,202,0.680608365019011,"Kirinyaga","Central","No"
"28",416,"Grade 2",19019,71,0.600000023841858,0.466666668653488,102,48,202,0.680608365019011,"Kirinyaga","Central","No"
"29",416,"Grade 2",14325,46,0.77142858505249,0.333333343267441,102,78,202,0.680608365019011,"Kirinyaga","Central","No"
"30",416,"Grade 2",5690,36,0.685714304447174,0.566666662693024,102,96,202,0.680608365019011,"Kirinyaga","Central","No"
"31",416,"Grade 2",344,41,0.600000023841858,0.466666668653488,85,77,202,0.680608365019011,"Kirinyaga","Central","No"
"32",416,"Grade 2",25509,46,0.657142877578735,0.466666668653488,87,57,202,0.680608365019011,"Kirinyaga","Central","No"
"33",416,"Grade 2",8930,38,0.914285719394684,0.5,102,86,202,0.680608365019011,"Kirinyaga","Central","No"
"34",416,"Grade 2",6585,41,0.714285731315613,0.633333325386047,102,74,202,0.680608365019011,"Kirinyaga","Central","No"
"35",416,"Grade 2",7880,39,0.571428596973419,0.533333361148834,102,82,202,0.680608365019011,"Kirinyaga","Central","No"
"36",416,"Grade 2",12154,21,0.685714304447174,0.800000011920929,102,94,202,0.680608365019011,"Kirinyaga","Central","No"
"37",416,"Grade 2",23915,61,0.685714304447174,0.466666668653488,102,87,202,0.680608365019011,"Kirinyaga","Central","No"
"38",416,"Grade 2",354,47,0.800000011920929,0.633333325386047,102,90,202,0.680608365019011,"Kirinyaga","Central","No"
"39",416,"Grade 2",22749,41,0.600000023841858,0.800000011920929,102,86,202,0.680608365019011,"Kirinyaga","Central","No"
"40",416,"Grade 3",9921,107,0.742857158184052,0.800000011920929,61,59,124,0.250460405156538,"Kirinyaga","Central","No"
"41",416,"Grade 3",3950,0,0,0,1,0,124,0.250460405156538,"Kirinyaga","Central","No"
"42",416,"Grade 3",19332,66,0.514285743236542,0.333333343267441,61,44,124,0.250460405156538,"Kirinyaga","Central","No"
"43",416,"Grade 3",8369,111,0.657142877578735,0.800000011920929,61,31,124,0.250460405156538,"Kirinyaga","Central","No"
"44",416,"Grade 3",23303,105,0.885714292526245,0.766666650772095,61,39,124,0.250460405156538,"Kirinyaga","Central","No"
"45",416,"Grade 3",26101,103,0.77142858505249,0.566666662693024,61,26,124,0.250460405156538,"Kirinyaga","Central","No"
"46",416,"Grade 3",19773,105,0.685714304447174,0.566666662693024,61,50,124,0.250460405156538,"Kirinyaga","Central","No"
"47",416,"Grade 3",17174,103,0.428571432828903,0.733333349227905,61,34,124,0.250460405156538,"Kirinyaga","Central","No"
"48",416,"Grade 3",24640,128,0.657142877578735,0.566666662693024,57,22,124,0.250460405156538,"Kirinyaga","Central","No"
"49",416,"Grade 3",26910,76,0.600000023841858,0.566666662693024,61,30,124,0.250460405156538,"Kirinyaga","Central","No"
"50",416,"Grade 3",24781,2,0,0,61,49,124,0.250460405156538,"Kirinyaga","Central","No"
"51",416,"Grade 3",14600,91,0.685714304447174,0.566666662693024,61,49,124,0.250460405156538,"Kirinyaga","Central","No"
"52",416,"Grade 3",14663,57,0.371428579092026,0.533333361148834,42,33,124,0.250460405156538,"Kirinyaga","Central","No"
"53",416,"Grade 3",5137,103,0.685714304447174,0.466666668653488,28,1,124,0.250460405156538,"Kirinyaga","Central","No"
"54",416,"Grade 3",13430,142,0.885714292526245,0.933333337306976,61,49,124,0.250460405156538,"Kirinyaga","Central","No"
"55",416,"Grade 3",25177,101,0.77142858505249,0.833333313465118,61,50,124,0.250460405156538,"Kirinyaga","Central","No"
"56",416,"Grade 4",23004,137,0.839999973773956,0.899999976158142,44,41,516,0.359154929577465,"Kirinyaga","Central","No"
"57",416,"Grade 4",21072,101,0.9200000166893,0.879999995231628,99,91,516,0.359154929577465,"Kirinyaga","Central","No"
"58",416,"Grade 4",15012,1,0.119999997317791,0.140000000596046,99,82,516,0.359154929577465,"Kirinyaga","Central","No"
